block_number,stimulus_seq,trial_seq,trial_number,trial_type,stimulus_type,image_v1,image_v2,hue_v1,hue_prom_v1,hue_v2,hue_prom_v2
1,26,1,6,ongoing,ongoing,ong_125.jpg,ong_132.jpg,156,NA,35,NA
1,27,2,6,ongoing,ongoing,ong_088.jpg,ong_125.jpg,-96,NA,-103,NA
1,28,3,6,ongoing,ongoing,ong_019.jpg,ong_192.jpg,-30,NA,-17,NA
1,29,4,6,ongoing,ongoing,ong_093.jpg,ong_198.jpg,25,NA,141,NA
1,30,5,6,ongoing,ongoing,ong_091.jpg,ong_177.jpg,-132,NA,107,NA
1,31,1,7,ongoing,ongoing,ong_025.jpg,ong_201.jpg,34,NA,-110,NA
1,32,2,7,ongoing,ongoing,ong_050.jpg,ong_074.jpg,-89,NA,53,NA
1,33,3,7,ongoing,ongoing,ong_017.jpg,ong_116.jpg,-166,NA,-52,NA
1,34,4,7,ongoing,ongoing,ong_212.jpg,ong_228.jpg,142,NA,158,NA
1,35,5,7,ongoing,ongoing,ong_199.jpg,ong_219.jpg,-42,NA,93,NA
1,36,1,8,ongoing,ongoing,ong_231.jpg,ong_083.jpg,-50,NA,-77,NA
1,37,2,8,ongoing,ongoing,ong_062.jpg,ong_130.jpg,40,NA,159,NA
1,38,3,8,ongoing,ongoing,ong_202.jpg,ong_054.jpg,154,NA,38,NA
1,39,4,8,ongoing,ongoing,ong_172.jpg,ong_179.jpg,-94,NA,103,NA
1,40,5,8,ongoing,ongoing,ong_147.jpg,ong_245.jpg,-158,NA,-47,NA
1,41,1,9,ongoing,ongoing,ong_169.jpg,ong_034.jpg,-61,NA,18,NA
1,42,2,9,ongoing,ongoing,ong_108.jpg,ong_079.jpg,41,NA,-75,NA
1,43,3,9,ongoing,ongoing,ong_218.jpg,ong_148.jpg,-18,NA,99,NA
1,44,4,9,ongoing,ongoing,ong_092.jpg,ong_246.jpg,161,NA,-20,NA
1,45,5,9,ongoing,ongoing,ong_168.jpg,ong_139.jpg,-156,NA,154,NA
